trading_date,ticker,open,high,low,close,adj_close,volume
2018-01-02,IBOVESPA,76403.0,77909.0,76403.0,77891.0,77891.0,2880300
2018-01-03,IBOVESPA,77889.0,78414.0,77602.0,77995.0,77995.0,3142200
2018-01-04,IBOVESPA,77998.0,79135.0,77998.0,78647.0,78647.0,3486100
2018-01-05,IBOVESPA,78644.0,79071.0,78218.0,79071.0,79071.0,2747100
2018-01-08,IBOVESPA,79070.0,79395.0,78631.0,79379.0,79379.0,2550800
2018-01-09,IBOVESPA,79379.0,79415.0,78699.0,78864.0,78864.0,3458600
2018-01-10,IBOVESPA,78864.0,78864.0,78164.0,78201.0,78201.0,2759900
2018-01-11,IBOVESPA,78201.0,79365.0,78201.0,79365.0,79365.0,3409400
2018-01-12,IBOVESPA,79365.0,79440.0,78861.0,79349.0,79349.0,3577800
2018-01-15,IBOVESPA,79349.0,79847.0,79349.0,79752.0,79752.0,1941000
2018-01-16,IBOVESPA,79751.0,80246.0,79668.0,79832.0,79832.0,2982500
2018-01-17,IBOVESPA,79832.0,81189.0,79828.0,81189.0,81189.0,3341200
2018-01-18,IBOVESPA,81185.0,81367.0,80498.0,80963.0,80963.0,3429600
2018-01-19,IBOVESPA,80965.0,81429.0,80854.0,81220.0,81220.0,3123200
2018-01-22,IBOVESPA,81220.0,81675.0,80923.0,81675.0,81675.0,2693000
2018-01-23,IBOVESPA,81676.0,81676.0,80524.0,80678.0,80678.0,3711200
2018-01-24,IBOVESPA,80679.0,83680.0,80679.0,83680.0,83680.0,5503700
2018-01-26,IBOVESPA,83680.0,85531.0,83680.0,85531.0,85531.0,5410600
2018-01-29,IBOVESPA,85531.0,85531.0,84341.0,84698.0,84698.0,3889600
2018-01-30,IBOVESPA,84697.0,84697.0,83804.0,84482.0,84482.0,3566000
2018-01-31,IBOVESPA,84485.0,86213.0,84484.0,84913.0,84913.0,4233500
2018-02-01,IBOVESPA,84913.0,86028.0,84833.0,85495.0,85495.0,4085300
2018-02-02,IBOVESPA,85495.0,85495.0,83831.0,84041.0,84041.0,3376900
2018-02-05,IBOVESPA,84040.0,84311.0,81861.0,81861.0,81861.0,3253600
2018-02-06,IBOVESPA,81857.0,84162.0,80804.0,83894.0,83894.0,5599100
2018-02-07,IBOVESPA,83894.0,84410.0,82548.0,82767.0,82767.0,3886000
2018-02-08,IBOVESPA,82773.0,83501.0,81109.0,81533.0,81533.0,4011400
2018-02-09,IBOVESPA,81532.0,81897.0,79690.0,80899.0,80899.0,4283400
2018-02-14,IBOVESPA,80901.0,83782.0,80901.0,83543.0,83543.0,3910700
2018-02-15,IBOVESPA,83551.0,84686.0,83551.0,84291.0,84291.0,3489300
2018-02-16,IBOVESPA,84291.0,84575.0,83824.0,84525.0,84525.0,3475800
2018-02-19,IBOVESPA,84525.0,84956.0,84525.0,84793.0,84793.0,2088900
2018-02-20,IBOVESPA,84792.0,86290.0,84261.0,85804.0,85804.0,4078100
2018-02-21,IBOVESPA,85804.0,87358.0,85804.0,86052.0,86052.0,4815500
2018-02-22,IBOVESPA,86050.0,87159.0,86050.0,86686.0,86686.0,3535700
2018-02-23,IBOVESPA,86690.0,87345.0,86138.0,87293.0,87293.0,4178600
2018-02-26,IBOVESPA,87296.0,88318.0,87242.0,87653.0,87653.0,4047100
2018-02-27,IBOVESPA,87649.0,87839.0,86613.0,86935.0,86935.0,3534700
2018-02-28,IBOVESPA,86939.0,87109.0,85431.0,85481.0,85481.0,5947100
2018-03-01,IBOVESPA,85337.0,86260.0,84640.0,85378.0,85378.0,4341300
2018-03-02,IBOVESPA,85378.0,85761.0,83897.0,85761.0,85761.0,3884300
2018-03-05,IBOVESPA,85292.0,86165.0,85053.0,86023.0,86023.0,3425200
2018-03-06,IBOVESPA,86023.0,86931.0,85653.0,85653.0,85653.0,3608600
2018-03-07,IBOVESPA,85653.0,85653.0,84397.0,85484.0,85484.0,3456800
2018-03-08,IBOVESPA,85510.0,85830.0,84491.0,84985.0,84985.0,3694700
2018-03-09,IBOVESPA,84987.0,86389.0,84749.0,86371.0,86371.0,3481500
2018-03-12,IBOVESPA,86386.0,87046.0,86386.0,86900.0,86900.0,2602900
2018-03-13,IBOVESPA,86902.0,87333.0,86119.0,86384.0,86384.0,2735800
2018-03-14,IBOVESPA,86383.0,86970.0,85691.0,86051.0,86051.0,2561000
2018-03-15,IBOVESPA,86051.0,86051.0,84720.0,84928.0,84928.0,3840100
2018-03-16,IBOVESPA,84928.0,85495.0,84525.0,84886.0,84886.0,5446200
2018-03-19,IBOVESPA,84886.0,84886.0,83678.0,83913.0,83913.0,3330600
2018-03-20,IBOVESPA,83919.0,84412.0,83682.0,84164.0,84164.0,2682000
2018-03-21,IBOVESPA,84166.0,85145.0,84080.0,84977.0,84977.0,3260900
2018-03-22,IBOVESPA,84984.0,85499.0,84197.0,84768.0,84768.0,3241700
2018-03-23,IBOVESPA,84766.0,85450.0,84042.0,84377.0,84377.0,3176900
2018-03-26,IBOVESPA,84377.0,85553.0,84357.0,85088.0,85088.0,2355600
